code,prefecture,jititai,city_kana,zip,address,tel,latitude,longitude,,区判定,No
012301,北海道,登別市,のぼりべつし,059-8701,北海道登別市中央町6-11,0143-85-2111,42.413177,141.1060422,Google Maps,,30
012319,北海道,恵庭市,えにわし,061-1498,北海道恵庭市京町1,0123-33-3131,42.8825998,141.5777789,Google Maps,,31
012335,北海道,伊達市,だてし,052-0024,北海道伊達市鹿島町20-1,0142-23-3331,42.4718879,140.8646916,Google Maps,,32
012343,北海道,北広島市,きたひろしまし,061-1192,北海道北広島市中央4-2-1,011-372-3311,42.9855191,141.563055,Google Maps,,33
012351,北海道,石狩市,いしかりし,061-3292,北海道石狩市花川北6条1-30-2,0133-72-3111,43.1713956,141.3155785,Google Maps,,34
012360,北海道,北斗市,ほくとし,049-0192,北海道北斗市中央1-3-10,0138-73-3111,41.8241709,140.6531161,Google Maps,,35
013030,北海道,当別町,とうべつちょう,061-0292,北海道石狩郡当別町白樺町58-9,0133-23-2330,43.2237181,141.5169977,Google Maps,,36
013048,北海道,新篠津村,しんしのつむら,068-1192,北海道石狩郡新篠津村第47線北13,0126-57-2111,43.2247001,141.6551684,Google Maps,,37
013315,北海道,松前町,まつまえちょう,049-1592,北海道松前郡松前町字福山248番地1,0139-42-2275,41.4300175,140.1104217,Google Maps,,38
013323,北海道,福島町,ふくしまちょう,049-1392,北海道松前郡福島町字福島820,0139-47-3001,41.4838539,140.251394,Google Maps,,39
013331,北海道,知内町,しりうちちょう,049-1103,北海道上磯郡知内町字重内21-1,01392-5-6161,41.5982666,140.4188279,Google Maps,,40
013340,北海道,木古内町,きこないちょう,049-0422,北海道上磯郡木古内町字本町218,01392-2-3131,41.6783704,140.4376534,Google Maps,,41
013374,北海道,七飯町,ななえちょう,041-1192,北海道亀田郡七飯町本町6丁目1-1,0138-65-2511,41.8957189,140.6943934,Google Maps,,42
013439,北海道,鹿部町,しかべちょう,041-1498,北海道茅部郡鹿部町字鹿部252-1,01372-7-2111,42.0266853,140.8316325,Google Maps,,43
013455,北海道,森町,もりまち,049-2393,北海道茅部郡森町字御幸町144-1,01374-2-2181,42.1049897,140.5765038,Google Maps,,44
013463,北海道,八雲町,やくもちょう,049-3192,北海道二海郡八雲町住初町138,0137-62-2111,42.2559569,140.2651668,Google Maps,,45
013471,北海道,長万部町,おしゃまんべちょう,049-3592,北海道山越郡長万部町字長万部453-1,01377-2-2000,42.5135504,140.3803173,Google Maps,,46
013617,北海道,江差町,えさしちょう,043-8560,北海道檜山郡江差町字中歌町193-1,0139-52-1020,41.8691504,140.1275076,Google Maps,,47
013625,北海道,上ノ国町,かみのくにちょう,049-0698,北海道檜山郡上ノ国町字大留100,0139-55-2311,41.8011124,140.1198925,Google Maps,,48
013633,北海道,厚沢部町,あっさぶちょう,043-1113,北海道檜山郡厚沢部町新町207,0139-64-3311,41.9209115,140.2253109,Google Maps,,49
013641,北海道,乙部町,おとべちょう,043-0103,北海道爾志郡乙部町字緑町388,0139-62-2311,41.9685412,140.1356129,Google Maps,,50
013676,北海道,奥尻町,おくしりちょう,043-1498,北海道奥尻郡奥尻町字奥尻428-2,01397-2-3111,42.1720464,139.5129906,Google Maps,,51
013706,北海道,今金町,いまかねちょう,049-4393,北海道瀬棚郡今金町字今金48-1,0137-82-0111,42.4293365,140.0086692,Google Maps,,52
013714,北海道,せたな町,せたなちょう,049-4592,北海道久遠郡せたな町北檜山区徳島63-1,0137-84-5111,42.4170406,139.8831755,Google Maps,,53
013919,北海道,島牧村,しままきむら,048-0621,北海道島牧郡島牧村字泊83-1,0136-75-6211,42.6997796,140.0617838,Google Maps,,54
013927,北海道,寿都町,すっつちょう,048-0406,北海道寿都郡寿都町字渡島町140-1,0136-62-2511,42.7911998,140.2287933,Google Maps,,55
013935,北海道,黒松内町,くろまつないちょう,048-0192,北海道寿都郡黒松内町字黒松内302-1,0136-72-3311,42.6679082,140.3075122,Google Maps,,56
013943,北海道,蘭越町,らんこしちょう,048-1392,北海道磯谷郡蘭越町蘭越町258-5,0136-57-5111,42.8091573,140.5283537,Google Maps,,57
013951,北海道,ニセコ町,にせこちょう,048-1595,北海道虻田郡ニセコ町字富士見55番地,0136-44-2121,42.8050447,140.6879869,Google Maps,,58
013960,北海道,真狩村,まっかりむら,048-1631,北海道虻田郡真狩村字真狩118,0136-45-2121,42.762983,140.8037371,Google Maps,,59
013978,北海道,留寿都村,るすつむら,048-1731,北海道虻田郡留寿都村字留寿都175,0136-46-3131,42.7378866,140.8753361,Google Maps,,60
013986,北海道,喜茂別町,きもべつちょう,044-0292,北海道虻田郡喜茂別町字喜茂別123,0136-33-2211,42.7954943,140.9345018,Google Maps,,61
013994,北海道,京極町,きょうごくちょう,044-0101,北海道虻田郡京極町字京極527,0136-42-2111,42.8582056,140.8842031,Google Maps,,62
014001,北海道,倶知安町,くっちゃんちょう,044-0001,北海道虻田郡倶知安町北1条東3-3,0136-22-1121,42.9020036,140.7589841,Google Maps,,63
014010,北海道,共和町,きょうわちょう,048-2292,北海道岩内郡共和町南幌似38-2,0135-73-2011,42.9804117,140.6111876,Google Maps,,64
014028,北海道,岩内町,いわないちょう,045-8555,北海道岩内郡岩内町字高台134-1,0135-62-1011,42.97984,140.5147826,Google Maps,,65
014036,北海道,泊村,とまりむら,045-0202,北海道古宇郡泊村大字茅沼村字臼別191-7,0135-75-2021,43.0634362,140.4987933,Google Maps,,66
014044,北海道,神恵内村,かもえないむら,045-0301,北海道古宇郡神恵内村大字神恵内村81-20,0135-76-5011,43.1433628,140.4307548,Google Maps,,67
014052,北海道,積丹町,しゃこたんちょう,046-0292,北海道積丹郡積丹町大字美国町字船澗48-5,0135-44-2111,43.2990163,140.5979841,Google Maps,,68
014061,北海道,古平町,ふるびらちょう,046-0192,北海道古平郡古平町大字浜町50番地,0135-48-9836,43.2639797,140.6386465,Google Maps,,69
014079,北海道,仁木町,にきちょう,048-2492,北海道余市郡仁木町西町1-36-1,0135-32-2511,43.1518145,140.7658705,Google Maps,,70
014087,北海道,余市町,よいちちょう,046-8546,北海道余市郡余市町朝日町26,0135-21-2111,43.1953239,140.7835377,Google Maps,,71
014095,北海道,赤井川村,あかいがわむら,046-0592,北海道余市郡赤井川村字赤井川74-2,0135-34-6211,43.08351,140.8136627,Google Maps,,72
014231,北海道,南幌町,なんぽろちょう,069-0292,北海道空知郡南幌町栄町3-2-1,011-378-2121,43.0637872,141.65037,Google Maps,,73
014249,北海道,奈井江町,ないえちょう,079-0392,北海道空知郡奈井江町字奈井江11,0125-65-2111,43.4267566,141.8823955,Google Maps,,74
014257,北海道,上砂川町,かみすながわちょう,073-0292,北海道空知郡上砂川町字上砂川町40-10,0125-62-2011,43.4826592,141.9839851,Google Maps,,75
014273,北海道,由仁町,ゆにちょう,069-1292,北海道夕張郡由仁町新光200,0123-83-2111,42.9995971,141.7903926,Google Maps,,76
014281,北海道,長沼町,ながぬまちょう,069-1392,北海道夕張郡長沼町中央北1-1-1,0123-88-2111,43.0104109,141.6952169,Google Maps,,77
014290,北海道,栗山町,くりやまちょう,069-1512,北海道夕張郡栗山町松風3-252,0123-72-1111,43.0563286,141.7842391,Google Maps,,78
014303,北海道,月形町,つきがたちょう,061-0592,北海道樺戸郡月形町1219,0126-53-2321,43.3383584,141.6694437,Google Maps,,79
014311,北海道,浦臼町,うらうすちょう,061-0692,北海道樺戸郡浦臼町字ウラウスナイ183-15,0125-68-2111,43.4305149,141.8187815,Google Maps,,80
014320,北海道,新十津川町,しんとつかわちょう,073-1103,北海道樺戸郡新十津川町字中央301-1,0125-76-2131,43.5489364,141.8774104,Google Maps,,81
014338,北海道,妹背牛町,もせうしちょう,079-0592,北海道雨竜郡妹背牛町字妹背牛5200,0164-32-2411,43.700102,141.9614467,Google Maps,,82
014346,北海道,秩父別町,ちっぷべつちょう,078-2192,北海道雨竜郡秩父別町4101,0164-33-2111,43.7670812,141.958195,Google Maps,,83
014362,北海道,雨竜町,うりゅうちょう,078-2692,北海道雨竜郡雨竜町字フシコウリウ104,0125-77-2211,43.6435332,141.8887143,Google Maps,,84
014371,北海道,北竜町,ほくりゅうちょう,078-2512,北海道雨竜郡北竜町字和11-1,0164-34-2111,43.7310068,141.8794972,Google Maps,,85
014389,北海道,沼田町,ぬまたちょう,078-2202,北海道雨竜郡沼田町南1条3-6-53,0164-35-2111,43.8067961,141.9333338,Google Maps,,86
014524,北海道,鷹栖町,たかすちょう,071-1292,北海道上川郡鷹栖町南1条3丁目5番1号,0166-87-2111,43.8432678,142.3543716,Google Maps,,87
014532,北海道,東神楽町,ひがしかぐらちょう,071-1592,北海道上川郡東神楽町南1条西1丁目3-2,0166-83-2111,43.6963994,142.4516825,Google Maps,,88
014541,北海道,当麻町,とうまちょう,078-1393,北海道上川郡当麻町3条東2丁目11-1,0166-84-2111,43.8284978,142.5078968,Google Maps,,89
014559,北海道,比布町,ぴっぷちょう,078-0392,北海道上川郡比布町北町1-2-1,0166-85-2111,43.8751984,142.4776112,Google Maps,,90
014567,北海道,愛別町,あいべつちょう,078-1492,北海道上川郡愛別町字本町179,01658-6-5111,43.9064945,142.5780835,Google Maps,,91
014575,北海道,上川町,かみかわちょう,078-1753,北海道上川郡上川町南町180,01658-2-1211,43.8471848,142.770398,Google Maps,,92
014583,北海道,東川町,ひがしかわちょう,071-1492,北海道上川郡東川町東町1-16-1,0166-82-2111,43.6989936,142.5102325,Google Maps,,93
014591,北海道,美瑛町,びえいちょう,071-0292,北海道上川郡美瑛町本町4-6-1,0166-92-1111,43.5881869,142.4669716,Google Maps,,94
014605,北海道,上富良野町,かみふらのちょう,071-0596,北海道空知郡上富良野町大町2-2-11,0167-45-6400,43.4556418,142.4670768,Google Maps,,95
014613,北海道,中富良野町,なかふらのちょう,071-0795,北海道空知郡中富良野町本町9-1,0167-44-2122,43.4056051,142.4250752,Google Maps,,96
014621,北海道,南富良野町,みなみふらのちょう,079-2402,北海道空知郡南富良野町字幾寅867,0167-52-2112,43.16416,142.56857,Google Maps,,97
014630,北海道,占冠村,しむかっぷむら,079-2201,北海道勇払郡占冠村字中央,0167-56-2121,42.9797423,142.4214117,Google Maps,,98
014648,北海道,和寒町,わっさむちょう,098-0192,北海道上川郡和寒町字西町120,0165-32-2421,44.023038,142.4132789,Google Maps,,99
014656,北海道,剣淵町,けんぶちちょう,098-0392,北海道上川郡剣淵町仲町37-1,0165-34-2121,44.0958434,142.3611451,Google Maps,,100
014681,北海道,下川町,しもかわちょう,098-1206,北海道上川郡下川町幸町63,01655-4-2511,44.3026254,142.6351824,Google Maps,,101
014699,北海道,美深町,びふかちょう,098-2252,北海道中川郡美深町字西町18,01656-2-1611,44.4816047,142.3431845,Google Maps,,102
014702,北海道,音威子府村,おといねっぷむら,098-2501,北海道中川郡音威子府村字音威子府444-1,01656-5-3311,44.7254604,142.2623011,Google Maps,,103
014711,北海道,中川町,なかがわちょう,098-2892,北海道中川郡中川町字中川337,01656-7-2811,44.8112303,142.0713813,Google Maps,,104
014729,北海道,幌加内町,ほろかないちょう,074-0492,北海道雨竜郡幌加内町字幌加内4699,0165-35-2121,44.0101029,142.1538986,Google Maps,,105
014818,北海道,増毛町,ましけちょう,077-0292,北海道増毛郡増毛町弁天町3-61,0164-53-1111,43.8560578,141.5250605,Google Maps,,106
014826,北海道,小平町,おびらちょう,078-3392,北海道留萌郡小平町字小平町216,0164-56-2111,44.0154468,141.6628069,Google Maps,,107
014834,北海道,苫前町,とままえちょう,078-3792,北海道苫前郡苫前町字旭37-1,0164-64-2211,44.3061952,141.6529843,Google Maps,,108
014842,北海道,羽幌町,はぼろちょう,078-4198,北海道苫前郡羽幌町南町1-1,0164-62-1211,44.3606601,141.6970979,Google Maps,,109
014851,北海道,初山別村,しょさんべつむら,078-4492,北海道苫前郡初山別村字初山別96-1,0164-67-2211,44.5321818,141.7663333,Google Maps,,110
014869,北海道,遠別町,えんべつちょう,098-3543,北海道天塩郡遠別町字本町3-37,01632-7-2111,44.7224477,141.7923272,Google Maps,,111
014877,北海道,天塩町,てしおちょう,098-3398,北海道天塩郡天塩町新栄通8丁目,01632-2-1001,44.8882903,141.7450979,Google Maps,,112
015113,北海道,猿払村,さるふつむら,098-6232,北海道宗谷郡猿払村鬼志別西町172-1,01635-2-3131,45.3306307,142.1089096,Google Maps,,113
015121,北海道,浜頓別町,はまとんべつちょう,098-5792,北海道枝幸郡浜頓別町中央南1,01634-2-2345,45.1237477,142.3597036,Google Maps,,114
015130,北海道,中頓別町,なかとんべつちょう,098-5595,北海道枝幸郡中頓別町字中頓別172-6,01634-6-1111,44.9697459,142.2867244,Google Maps,,115
015148,北海道,枝幸町,えさしちょう,098-5892,北海道枝幸郡枝幸町本町916,0163-62-1234,44.9386907,142.5814118,Google Maps,,116
015164,北海道,豊富町,とよとみちょう,098-4110,北海道天塩郡豊富町大通6丁目,0162-82-1001,45.1029277,141.7775395,Google Maps,,117
015172,北海道,礼文町,れぶんちょう,097-1201,北海道礼文郡礼文町大字香深村字トンナイ558-5,0163-86-1001,45.3030103,141.0477215,Google Maps,,118
015181,北海道,利尻町,りしりちょう,097-0401,北海道利尻郡利尻町沓形字緑町14-1,0163-84-2345,45.1870957,141.1395432,Google Maps,,119
015199,北海道,利尻富士町,りしりふじちょう,097-0101,北海道利尻郡利尻富士町鴛泊字富士野6,0163-82-1111,45.2474977,141.2145697,Google Maps,,120
015202,北海道,幌延町,ほろのべちょう,098-3207,北海道天塩郡幌延町宮園町1番地1,01632-5-1111,45.0179429,141.8497062,Google Maps,,121
015431,北海道,美幌町,びほろちょう,092-8650,北海道網走郡美幌町字東2条北2-25,0152-73-1111,43.8245745,144.1072129,Google Maps,,122
015440,北海道,津別町,つべつちょう,092-0292,北海道網走郡津別町字幸町41,0152-76-2151,43.7069868,144.0243183,Google Maps,,123
015458,北海道,斜里町,しゃりちょう,099-4192,北海道斜里郡斜里町本町12,0152-23-3131,43.9114708,144.6708581,Google Maps,,124
015466,北海道,清里町,きよさとちょう,099-4492,北海道斜里郡清里町羽衣町13,0152-25-2131,43.8352158,144.5945124,Google Maps,,125
015474,北海道,小清水町,こしみずちょう,099-3698,北海道斜里郡小清水町元町2-1-1,0152-62-2311,43.8566961,144.4621071,Google Maps,,126
015491,北海道,訓子府町,くんねっぷちょう,099-1498,北海道常呂郡訓子府町東町398,0157-47-2111,43.7253764,143.7416024,Google Maps,,127
015504,北海道,置戸町,おけとちょう,099-1100,北海道常呂郡置戸町字置戸181,0157-52-3311,43.676359,143.5863303,Google Maps,,128
015521,北海道,佐呂間町,さろまちょう,093-0592,北海道常呂郡佐呂間町字永代町3-1,01587-2-1211,44.0179629,143.7748608,Google Maps,,129
015555,北海道,遠軽町,えんがるちょう,099-0492,北海道紋別郡遠軽町1条通北3-1-1,0158-42-4811,44.0619416,143.5280576,Google Maps,,130
015598,北海道,湧別町,ゆうべつちょう,099-6592,北海道紋別郡湧別町上湧別屯田市街地318,01586-2-2111,44.1514787,143.5728715,Google Maps,,131
015601,北海道,滝上町,たきのうえちょう,099-5692,北海道紋別郡滝上町字滝ノ上市街地4条通2-1,0158-29-2111,44.1916298,143.0780883,Google Maps,,132
015610,北海道,興部町,おこっぺちょう,098-1692,北海道紋別郡興部町字興部710,0158-82-2131,44.4699014,143.1238211,Google Maps,,133
015628,北海道,西興部村,にしおこっぺむら,098-1501,北海道紋別郡西興部村字西興部100,0158-87-2111,44.328615,142.9452491,Google Maps,,134
015636,北海道,雄武町,おうむちょう,098-1792,北海道紋別郡雄武町本町,0158-84-2121,44.5825323,142.9619828,Google Maps,,135
015644,北海道,大空町,おおぞらちょう,099-2392,北海道網走郡大空町女満別西3条4丁目1-1,0152-74-2111,43.9119041,144.1725343,Google Maps,,136
015717,北海道,豊浦町,とようらちょう,049-5492,北海道虻田郡豊浦町字船見町10,0142-83-2121,42.5834214,140.7118078,Google Maps,,137
015750,北海道,壮瞥町,そうべつちょう,052-0101,北海道有珠郡壮瞥町字滝之町287-7,0142-66-2121,42.5521081,140.8859653,Google Maps,,138
015784,北海道,白老町,しらおいちょう,059-0995,北海道白老郡白老町大町1-1-1,0144-82-2121,42.5508737,141.3550743,Google Maps,,139
015814,北海道,厚真町,あつまちょう,059-1692,北海道勇払郡厚真町京町120,0145-27-2321,42.723663,141.8779224,Google Maps,,140
015849,北海道,洞爺湖町,とうやこちょう,049-5692,北海道虻田郡洞爺湖町栄町58,0142-76-2121,42.5513196,140.7640555,Google Maps,,141
015857,北海道,安平町,あびらちょう,059-1595,北海道勇払郡安平町早来大町95,0145-22-2511,42.7696007,141.8231529,Google Maps,,142
015865,北海道,むかわ町,むかわちょう,054-8660,北海道勇払郡むかわ町美幸2-88,0145-42-2411,42.5748049,141.9267718,Google Maps,,143
016012,北海道,日高町,ひだかちょう,059-2192,北海道沙流郡日高町門別本町210-1,01456-2-5131,42.4802438,142.0747667,Google Maps,,144
016021,北海道,平取町,びらとりちょう,055-0192,北海道沙流郡平取町本町28,01457-2-2221,42.5850341,142.1286044,Google Maps,,145
016047,北海道,新冠町,にいかっぷちょう,059-2492,北海道新冠郡新冠町字北星町3-2,0146-47-2111,42.3624747,142.3183081,Google Maps,,146
016071,北海道,浦河町,うらかわちょう,057-8511,北海道浦河郡浦河町築地1-3-1,0146-22-2311,42.1683877,142.7683027,Google Maps,,147
016080,北海道,様似町,さまにちょう,058-8501,北海道様似郡様似町大通1-21,0146-36-2111,42.1280734,142.9332392,Google Maps,,148
016098,北海道,えりも町,えりもちょう,058-0292,北海道幌泉郡えりも町字本町206,01466-2-2111,42.016302,143.1482137,Google Maps,,149
016101,北海道,新ひだか町,しんひだかちょう,056-8650,北海道日高郡新ひだか町静内御幸町3丁目2-50,0146-43-2111,42.3412993,142.3685985,Google Maps,,150
016314,北海道,音更町,おとふけちょう,080-0198,北海道河東郡音更町元町2,0155-42-2111,42.9941755,143.1979227,Google Maps,,151
016322,北海道,士幌町,しほろちょう,080-1292,北海道河東郡士幌町字士幌225,01564-5-2211,43.1681096,143.2411912,Google Maps,,152
016331,北海道,上士幌町,かみしほろちょう,080-1492,北海道河東郡上士幌町字上士幌東3線238,01564-2-2111,43.2322698,143.2976214,Google Maps,,153
016349,北海道,鹿追町,しかおいちょう,081-0292,北海道河東郡鹿追町東町1-15-1,0156-66-2311,43.0989186,142.9889642,Google Maps,,154
016357,北海道,新得町,しんとくちょう,081-8501,北海道上川郡新得町3条南4-26,0156-64-5111,43.0798979,142.8388881,Google Maps,,155
016365,北海道,清水町,しみずちょう,089-0192,北海道上川郡清水町南4条2-2,0156-62-2111,43.0115844,142.8845824,Google Maps,,156
016373,北海道,芽室町,めむろちょう,082-8651,北海道河西郡芽室町東2条2-14,0155-62-9720,42.9119196,143.0507768,Google Maps,,157
016381,北海道,中札内村,なかさつないむら,089-1392,北海道河西郡中札内村東１条南１丁目２番地１,0155-67-2311,42.6979042,143.1343559,Google Maps,,158
016390,北海道,更別村,さらべつむら,089-1595,北海道河西郡更別村字更別南1線93,0155-52-2111,42.6507175,143.1864396,Google Maps,,159
016411,北海道,大樹町,たいきちょう,089-2195,北海道広尾郡大樹町東本通33,01558-6-2111,42.4975324,143.2788775,Google Maps,,160
016420,北海道,広尾町,ひろおちょう,089-2692,北海道広尾郡広尾町西4条7-1,01558-2-2111,42.285763,143.3114792,Google Maps,,161
016438,北海道,幕別町,まくべつちょう,089-0692,北海道中川郡幕別町本町130-1,0155-54-2111,42.9085994,143.3561193,Google Maps,,162
016446,北海道,池田町,いけだちょう,083-8650,北海道中川郡池田町西1条7-11,015-572-3111,42.9213433,143.4487546,Google Maps,,163
016454,北海道,豊頃町,とよころちょう,089-5392,北海道中川郡豊頃町茂岩本町125,015-574-2211,42.8010304,143.5058614,Google Maps,,164
016462,北海道,本別町,ほんべつちょう,089-3392,北海道中川郡本別町北2-4-1,0156-22-2141,43.1246602,143.6107647,Google Maps,,165
016471,北海道,足寄町,あしょろちょう,089-3797,北海道足寄郡足寄町北1条4-48-1,0156-25-2141,43.2448462,143.5538973,Google Maps,,166
016489,北海道,陸別町,りくべつちょう,089-4311,北海道足寄郡陸別町字陸別東1条3-1,0156-27-2141,43.4689274,143.7473981,Google Maps,,167
016497,北海道,浦幌町,うらほろちょう,089-5692,北海道十勝郡浦幌町字桜町15-6,015-576-2111,42.8089584,143.6585368,Google Maps,,168
016616,北海道,釧路町,くしろちょう,088-0692,北海道釧路郡釧路町別保1-1,0154-62-2111,42.9960096,144.4661071,Google Maps,,169
016624,北海道,厚岸町,あっけしちょう,088-1192,北海道厚岸郡厚岸町真栄3丁目1番地,0153-52-3131,43.0518334,144.8469819,Google Maps,,170
016632,北海道,浜中町,はまなかちょう,088-1592,北海道厚岸郡浜中町湯沸445番地,0153-62-2111,43.0759368,145.1311004,Google Maps,,171
016641,北海道,標茶町,しべちゃちょう,088-2312,北海道川上郡標茶町川上4-2,015-485-2111,43.3033268,144.6006365,Google Maps,,172
016659,北海道,弟子屈町,てしかがちょう,088-3292,北海道川上郡弟子屈町中央2-3-1,015-482-2191,43.4853385,144.45927,Google Maps,,173
016675,北海道,鶴居村,つるいむら,085-1203,北海道阿寒郡鶴居村鶴居西1-1,0154-64-2111,43.2300686,144.3211187,Google Maps,,174
016683,北海道,白糠町,しらぬかちょう,088-0392,北海道白糠郡白糠町西1条南1-1-1,01547-2-2171,42.956174,144.0717341,Google Maps,,175
016918,北海道,別海町,べつかいちょう,086-0205,北海道野付郡別海町別海常盤町280,0153-75-2111,43.3941004,145.1180356,Google Maps,,176
016926,北海道,中標津町,なかしべつちょう,086-1197,北海道標津郡中標津町丸山2-22,0153-73-3111,43.555713,144.9732883,Google Maps,,177
016934,北海道,標津町,しべつちょう,086-1632,北海道標津郡標津町北2条西1-1-3,0153-82-2131,43.661408,145.1313128,Google Maps,,178
016942,北海道,羅臼町,らうすちょう,086-1892,北海道目梨郡羅臼町栄町100-83,0153-87-2111,44.0218608,145.189688,Google Maps,,179
022012,青森県,青森市,あおもりし,030-8555,青森県青森市中央1-22-5,017-734-1111,40.8222397,140.7474381,Google Maps,,180
022021,青森県,弘前市,ひろさきし,036-8551,青森県弘前市大字上白銀町1-1,0172-35-1111,40.6032688,140.463095,Google Maps,,181
022039,青森県,八戸市,はちのへし,031-8686,青森県八戸市内丸1-1-1,0178-43-2111,40.5139639,141.4889199,Google Maps,,182
022047,青森県,黒石市,くろいしし,036-0396,青森県黒石市大字市ノ町11-1,0172-52-2111,40.6425774,140.5945884,Google Maps,,183
022055,青森県,五所川原市,ごしょがわらし,037-8686,青森県五所川原市字布屋町41-1,0173-35-2111,40.8077466,140.4461216,Google Maps,,184
022063,青森県,十和田市,とわだし,034-8615,青森県十和田市西十二番町6-1,0176-23-5111,40.6125439,141.2055345,Google Maps,,185
022071,青森県,三沢市,みさわし,033-8666,青森県三沢市桜町1-1-38,0176-53-5111,40.6830103,141.3690567,Google Maps,,186
022080,青森県,むつ市,むつし,035-8686,青森県むつ市中央1丁目8-1,0175-22-1111,41.2930438,141.183166,Google Maps,,187
022098,青森県,つがる市,つがるし,038-3192,青森県つがる市木造若緑61-1,0173-42-2111,40.8087,140.3801366,Google Maps,,188
022101,青森県,平川市,ひらかわし,036-0104,青森県平川市柏木町藤山25-6,0172-44-1111,40.5836914,140.567135,Google Maps,,189
023019,青森県,平内町,ひらないまち,039-3393,青森県東津軽郡平内町大字小湊字小湊63,017-755-2111,40.9260812,140.9559248,Google Maps,,190
023035,青森県,今別町,いまべつまち,030-1502,青森県東津軽郡今別町大字今別字今別167,0174-35-2001,41.1819512,140.4818441,Google Maps,,191
023043,青森県,蓬田村,よもぎたむら,030-1211,青森県東津軽郡蓬田村大字蓬田字汐越1-3,0174-27-2111,40.9718074,140.6560598,Google Maps,,192
